,=VeryGood=,Stamp and Scrape,Unnamed: 2,Unnamed: 3,Unnamed: 4
613,=Excellent=,Love this brush...I have bought several. Many uses and DURABLE!,,,
614,=Unsatisfactory=,Not my favorite,,,
615,=Unsatisfactory=,Unfortunatley Not Sulfate Free,,,
616,=Good=,BUMMER!!,,,
617,=VeryGood=,It works,,,
618,=Good=,ok,,,
619,=Excellent=,The Best So Far For Dry Flaky Hands,,,
620,=Good=,It's just a beautiful bottle.,,,
621,=Excellent=,Great Product,,,
622,=Poor=,Yuk...waste of money,,,
623,=Excellent=,Great product,,,
624,=Excellent=,Couldn't believe it,,,
625,=VeryGood=,Super setting spray,,,
626,=VeryGood=,margarine,,,
627,=Good=,Meh,,,
628,=Unsatisfactory=,Never purchase again,,,
629,=Poor=,this dryer sucks,,,
630,=Good=,Nothing special,,,
631,=VeryGood=,A good moisturizing conditioner for the price,,,
632,=Excellent=,"Not bad, especially for the price!",,,
633,=Poor=,Worst thing,,,
634,=VeryGood=,... what I would expect Hollister Newport Beach to smell like if it were adapted as a cologne,,,
635,=Good=,OK!!,,,
636,=Poor=,"Caused Acnegeddon on my scalp, face, neck; not 100% oil",,,
637,=Excellent=,Great Buy!,,,
638,=VeryGood=,Easy to use Round Brush,,,
639,=Good=,So so,,,
640,=VeryGood=,Its good,,,
641,=Excellent=,This Stuff Is Fabulous. Fabulous. Fabulous.,,,
642,=Excellent=,Amazing,,,
643,=Poor=,No,,,
644,=Excellent=,"Natural flush, great on redheads! PENNY LANE",,,
645,=Excellent=,Great Iron. Great Price.,,,
646,=Poor=,waist of my money,,,
647,=Unsatisfactory=,Not for me.,,,
648,=Poor=,Nasty stuff,,,
649,=Good=,Straight out,,,
650,=Poor=,Too hard to put on and dont fit securely,,,
651,=Good=,"Photo shows color much darker and not very accurate, but porduct feels nice and is a nice color.",,,
652,=Excellent=,FAB Red that every one can wear,,,
653,=Poor=,"PLEASE DO NOT USE THIS, SAVE YOUR SKIN.",,,
654,=VeryGood=,A little goes a long way,,,
655,=Poor=,Terrible stamping results,,,
656,=Good=,not so much,,,
657,=Poor=,Expensive dissapointment,,,
658,=Excellent=,great product,,,
659,=Excellent=,Wonderful,,,
660,=Poor=,Listing Doesn't Show ALL Ingredients,,,
661,=Excellent=,Definately a Wen girl!!,,,
662,=Good=,See no difference,,,
663,=Unsatisfactory=,Toxic?!,,,
664,=Unsatisfactory=,"Functional with the brush, but wrong color",,,
665,=VeryGood=,This thing works!,,,
666,=Unsatisfactory=,Gave me a rash,,,
667,=Poor=,The Smell Is Awful!,,,
668,=Good=,It works,,,
669,=Poor=,Save Your Money & Buy a Bottle of Hydrogen Peroxide!,,,
670,=VeryGood=,"Smelled good, not enough bubble for me",,,
671,=Excellent=,Impossible permenent RED? Poof!,,,
672,=Unsatisfactory=,Didn't see results,,,
673,=VeryGood=,I like it...,,,
674,=Excellent=,Tried and tested,,,
675,=VeryGood=,luv it!!!!,,,
676,=Unsatisfactory=,Not as good for me as expected,,,
677,=VeryGood=,Decent product,,,
678,=Unsatisfactory=,DONT EVEN PRESS BUY!!,,,
679,=Unsatisfactory=,"\Strange Smells Are Happening,\""  or  \""People are Strange, When You Use Jasmine\""""",,,
680,=Good=,Okay,,,
681,=Good=,It's Okay,,,
682,=VeryGood=,Excellent compact hair dryer,,,
683,=VeryGood=,The no messing around clarifying shampoo that stinks,,,
684,=Excellent=,Beauty lover,,,
685,=VeryGood=,Works Well,,,
686,=Good=,It's good,,,
687,=VeryGood=,Even tone,,,
688,=Excellent=,Emerita Pro-Gest Cream,,,
689,=VeryGood=,good when you are very dry,,,
690,=Good=,"Decent, but Color Issues",,,
691,=Poor=,Better Living is Worse Living,,,
692,=Excellent=,Pretty,,,
693,=Excellent=,I've noticed a difference!,,,
694,=VeryGood=,im enjoying this,,,
695,=Excellent=,Olay Regenerating Serum,,,
696,=Poor=,A cautionary tale,,,
697,=Excellent=,"Great, Great, Great!!",,,
698,=Excellent=,BOUGHT THIS FOR MY MOM,,,
699,=Good=,"Cheap,useful, and popular",,,
700,=VeryGood=,nice scent,,,
701,=Unsatisfactory=,Ehh,,,
702,=Poor=,never got them.,,,
703,=Unsatisfactory=,"After 30 years, won't buy it again",,,
704,=Good=,It's ok,,,
705,=Poor=,Not worth the money.,,,
706,=Good=,"Good shears, but not sure...",,,
707,=Good=,okay but not as good as the other style of clamp,,,
708,=Unsatisfactory=,May be fine for light breakouts; not for deeper problems,,,
709,=Good=,Three Stars,,,
710,=Poor=,Did not Like,,,
711,=Unsatisfactory=,I can't believe I paid 3+ dollars for this!,,,
712,=Good=,I've used better.,,,
713,=VeryGood=,8,,,
714,=Poor=,No Good,,,
715,=Unsatisfactory=,It's ok,,,
716,=Excellent=,"Good stuff, but I paid too much for it",,,
717,=Excellent=,Wonderful!,,,
718,=Poor=,not my fav product,,,
719,=Good=,Very hard to keep it on your head when set on high,,,
720,=Good=,Doesn't look as natural as I had hoped,,,
721,=Poor=,Ineffective product with many dangerous ingredients,,,
722,=Unsatisfactory=,They leak!,,,
723,=Excellent=,derma e Refining Vitamin A Cr&egrave;me,,,
724,=Excellent=,It's great because I live in a sunny climate and have ...,,,
725,=Excellent=,Recommended by Allure many times,,,
726,=Poor=,Definitely not impressed,,,
727,=VeryGood=,"Hard to Grip, but Good Stuff",,,
728,=Excellent=,Better for your body,,,
729,=Unsatisfactory=,Overpowering smell for sensitives,,,
730,=Unsatisfactory=,Doesn't curl my hair much,,,
731,=VeryGood=,Awesome,,,
732,=Excellent=,Orgasm on your mouth.,,,
733,=Unsatisfactory=,do not get this if you're a woman of color,,,
734,=Good=,Classit,,,
735,=Unsatisfactory=,Pretty,,,
736,=Poor=,Not for me...,,,
737,=Unsatisfactory=,Really........dumbest thing I ever purchased.....,,,
738,=Poor=,Benzoyl Peroxide > Salicylic Acid,,,
739,=Good=,Not bad,,,
740,=VeryGood=,Good Lipsloss,,,
741,=Unsatisfactory=,A less expensive alternative,,,
742,=Unsatisfactory=,Virtually scent-free,,,
743,=Good=,Great facial steamer but the steam arm needs more adjustments,,,
744,=Good=,Maybe it's just me...,,,
745,=VeryGood=,3 yrs strong,,,
746,=Poor=,Do not purchase!,,,
747,=VeryGood=,Good for the price,,,
748,=Excellent=,Felt great!,,,
749,=Excellent=,Great product,,,
750,=Poor=,I just hate the way they leave my skin feeling like it ...,,,
751,=Unsatisfactory=,Too Dry and Too Much Feathering,,,
752,=Good=,The Brush,,,
753,=Good=,Havent used yet,,,
754,=Poor=,Too slick,,,
755,=Good=,"GOOD SCENT, but NOT for under 30 women",,,
756,=Unsatisfactory=,NOT AS GOOD AS ORIGINAL,,,
757,=Unsatisfactory=,not worth buying,,,
758,=Unsatisfactory=,Not loving it for dry hair,,,
759,=Poor=,Flat Iron Works Better,,,
760,=VeryGood=,good,,,
761,=Poor=,Flakes like crazy,,,
762,=VeryGood=,keratin,,,
763,=Unsatisfactory=,Huge disappointment,,,
764,=Unsatisfactory=,It Stings on Skin when Applied!! Does not Stay very Good.,,,
765,=Unsatisfactory=,Its ok. Original poison is better after the two scents are settled.,,,
766,=VeryGood=,Very Good Lotion With Funny Name,,,
767,=Poor=,I hate the pink one!,,,
768,=Poor=,did not work at all,,,
769,=VeryGood=,It's okay,,,
770,=Unsatisfactory=,Was not impressed with this product~!,,,
771,=Unsatisfactory=,What happened,,,
772,=VeryGood=,Got rid of black heads and large pores!!,,,
773,=VeryGood=,"Non-greasy, frizz fighting and detangling",,,
774,=Poor=,terrible excuse for makeup,,,
775,=Good=,Not exactly what I expected,,,
776,=Excellent=,Great Alternative to Mascara,,,
777,=Unsatisfactory=,Meh,,,
778,=Excellent=,One of the best!,,,
779,=Unsatisfactory=,Made a difference in my hair -- but for the better?,,,
780,=Good=,Price was high,,,
781,=Excellent=,Pureology Anit-Fade Complex Hydrate Shampoo,,,
782,=Poor=,Wonderful product! {upate regarding how oil is harvested},,,
783,=Unsatisfactory=,Gave me a tinted rash,,,
784,=Good=,OK - For the Price!,,,
785,=Good=,okay product,,,
786,=Excellent=,Bulk!,,,
787,=Good=,Works as required,,,
788,=VeryGood=,"Product Works, the Scent Doesn't",,,
789,=Good=,"Wonderful for what it is, but question marks in general on silicones safety on skin.",,,
790,=Poor=,These people suck!!,,,
791,=Excellent=,Smells Good,,,
792,=Unsatisfactory=,Great moisturizer but once rinsed out hair feels rough,,,
793,=Unsatisfactory=,Not my cup of tea.,,,
794,=Good=,Causes puffy eyes in the morning.,,,
795,=VeryGood=,Different Uses,,,
796,=Unsatisfactory=,Stays Damp On Face,,,
797,=Unsatisfactory=,My Skin's too sensitive,,,
798,=Good=,Ok,,,
799,=Unsatisfactory=,To bulky,,,
800,=Unsatisfactory=,Meh.. but don't toss just yet!,,,
801,=Poor=,cheap product,,,
802,=Excellent=,Love this stuff!,,,
803,=Unsatisfactory=,product peels,,,
804,=Unsatisfactory=,not what I had hoped,,,
805,=Unsatisfactory=,No better or worse than similar products,,,
806,=Poor=,A waste of time!,,,
807,=VeryGood=,very gentle,,,
808,=Poor=,Terrible/Rip Off,,,
809,=Unsatisfactory=,Pink base,,,
810,=Unsatisfactory=,Ran out in one go,,,
811,=Unsatisfactory=,L'oreal can do better.,,,
812,=Good=,It'll do,,,
813,=Good=,Takes too long to heat up,,,
814,=Unsatisfactory=,Didn't work for me!,,,
815,=Good=,Meh...it's ok as a revitalizer to me,,,
816,=Poor=,TOTAL FIASCO for a so-so brush.,,,
817,=Good=,Coor is way off how it looked online,,,
818,=Excellent=,I love it.,,,
819,=VeryGood=,Good spray bottle,,,
820,=Good=,"Works as Promised, But.....",,,
821,=Poor=,I thought it would smell better,,,
822,=VeryGood=,A Gentle Sunscreen,,,
823,=Good=,not the results I was hoping for,,,
824,=Poor=,Smells weird.,,,
825,=Unsatisfactory=,"Great idea, poor product",,,
826,=Excellent=,Very satisfied with my purchase,,,
827,=VeryGood=,Very  Much Like Another China Glaze polish,,,
828,=Excellent=,This homeopathic remedy helped me,,,
829,=Poor=,Too  Strong,,,
830,=Excellent=,"This is a winner, great product for natural texture hair",,,
831,=Excellent=,Fabulous!,,,
832,=Excellent=,"CARUSO PROFESSIONAL MOLECULAR STEAM ROLLERS WITH SHIELDS, MEDIUM",,,
833,=Good=,Three Stars,,,
834,=Poor=,Frustrating,,,
835,=Excellent=,only eyebrow dye I use,,,
836,=VeryGood=,"aveeno positively radiant tinted moisturizer, spf 30 medium,2.5 ounceI",,,
837,=Good=,Decent.,,,
838,=Poor=,Was great - when it worked,,,
839,=Excellent=,These are the best,,,
840,=Poor=,Too bulky for me,,,
841,=Poor=,"Sweet Lemon...not. In fact, rancid and no longer made by Body Shop",,,
842,=Poor=,doesn't stick,,,
843,=Excellent=,Keeps my hair frizz-free!,,,
844,=Poor=,Smells good but thats it...,,,
845,=VeryGood=,Works.,,,
846,=VeryGood=,Nice Coverage,,,
847,=Poor=,Look elsewhere....,,,
848,=Poor=,left my hair and scalp so dry :(,,,
849,=Excellent=,I don't think I've ever before loved a brush...,,,
850,=Good=,"If you part your hair, fine for that.",,,
851,=Excellent=,Love love,,,
852,=VeryGood=,Takes a few colorings,,,
853,=VeryGood=,No quarrles,,,
854,=Good=,Gentle Scrub,,,
855,=VeryGood=,Only use a dab!,,,
856,=Good=,Does Little But Better Than Nothing,,,
857,=Excellent=,Still a winner after many years,,,
858,=Excellent=,Great,,,
859,=Poor=,Not impressed,,,
860,=Excellent=,Five Stars,,,
861,=VeryGood=,Not Coral,,,
862,=Unsatisfactory=,Not great,,,
863,=Poor=,NOT great for the FACE!,,,
864,=Excellent=,Great product,,,
865,=Good=,Son wouldn't use it,,,
866,=VeryGood=,ok...,,,
867,=Poor=,Not worth the money,,,
868,=Poor=,Did not help at all,,,
869,=Unsatisfactory=,Eucerin Lotion,,,
870,=Unsatisfactory=,not impressed,,,
871,=VeryGood=,Great In A Pinch Easy To Use Fair Results,,,
872,=Poor=,Did not like it,,,
873,=Unsatisfactory=,Hard to use,,,
874,=Good=,It's just Okay...,,,
875,=Unsatisfactory=,Honestly...,,,
876,=Good=,Okay product...,,,
877,=Poor=,worst curler I've tried,,,
878,=VeryGood=,Godsend for Natural Hair -- Price too High on Amazon,,,
879,=Poor=,desert essence nourishing cleanser,,,
880,=Poor=,"I bought this and the serum, but feel like it was money wasted",,,
881,=VeryGood=,Works well,,,
882,=Unsatisfactory=,very strong scent,,,
883,=Unsatisfactory=,Is it doing anything?,,,
884,=Unsatisfactory=,could have been better,,,
885,=Good=,"Good, But a Bit Drying",,,
886,=VeryGood=,"Fast, but not very glossy.",,,
887,=VeryGood=,I'm Feelin Blue,,,
888,=Excellent=,Love It!,,,
889,=Excellent=,great,,,
890,=VeryGood=,"Not quite magic, but works well",,,
891,=Good=,Nice product but not for cellulite,,,
892,=Unsatisfactory=,Tried and failed,,,
893,=Good=,Nioxin,,,
894,=Poor=,Good ingrediants with bad ingrediants cancels out the benefit,,,
895,=Good=,ohkay oil,,,
896,=Excellent=,Kiss My Face-Pure Olive Oil Soap,,,
897,=VeryGood=,"Stick with it, it gets better",,,
898,=Excellent=,The hubbys favorite!,,,
899,=Poor=,Not worth it. AT ALL,,,
900,=Excellent=,Love this stuff!,,,
901,=VeryGood=,"Some drawbacks, but pros outweigh the cons",,,
902,=Good=,Not too sure what the hype is about?,,,
903,=Excellent=,Philosophy girl!,,,
904,=Poor=,crap,,,
905,=Unsatisfactory=,eh,,,
906,=VeryGood=,"Great Product, Requires Pro Equipment For Full Effect",,,
907,=Excellent=,greta,,,
908,=VeryGood=,not bad for over the counter,,,
909,=Excellent=,good product,,,
910,=Good=,It's good mascara,,,
911,=Excellent=,Makes a great base,,,
912,=Good=,Must Have Been Reformulated Sometime,,,
913,=Unsatisfactory=,ehh not so great,,,
914,=Unsatisfactory=,Stings a bit,,,
915,=Unsatisfactory=,Maybe it's just me,,,
916,=Poor=,Skip it!,,,
917,=VeryGood=,Great stuff for soft skin,,,
918,=Unsatisfactory=,Olay Brush,,,
919,=VeryGood=,Great adhesive except for the smell..,,,
920,=VeryGood=,I love Hempz products but.....,,,
921,=VeryGood=,Great probiotic for improved digestion health,,,
922,=Poor=,"NOT for super fine, thin, naturally wavy, or shorter than shoulder length hair",,,
923,=Poor=,IBD Bonder not what I thought,,,
924,=Excellent=,I love this product.,,,
925,=Good=,not all natural and is a bit greasy,,,
926,=Good=,Lasts too long,,,
927,=VeryGood=,"Nice, but closer to a dark nude.",,,
928,=VeryGood=,Smells great but....,,,
929,=Good=,Ouch,,,
930,=Poor=,Bad bottle?,,,
931,=Unsatisfactory=,Blah,,,
932,=Excellent=,"Fun to use and it works, thumbs up",,,
933,=Unsatisfactory=,Didn't like the smell,,,
934,=Unsatisfactory=,strong and fruity,,,
935,=VeryGood=,good product,,,
936,=Poor=,Conair 1' curling iron,,,
937,=Excellent=,Terrific!,,,
938,=Excellent=,Always works!,,,
939,=VeryGood=,Good for at home facial,,,
940,=Good=,Not sure how well it works...,,,
941,=Excellent=,Day 2 and feeling pretty darn good!,,,
942,=Poor=,I need my cleanser to clean,,,
943,=VeryGood=,nice exfoliator,,,
944,=Excellent=,"Great for sinus relief, clear breathing, colds/flu, and for facial pores",,,
945,=Unsatisfactory=,Not for my nails.,,,
946,=VeryGood=,Works well,,,
947,=Poor=,Flimsy,,,
948,=Excellent=,10 years and not switching,,,
949,=VeryGood=,I See Some Change!!,,,
950,=Poor=,Yuch!,,,
951,=Unsatisfactory=,Left me limp...,,,
952,=Unsatisfactory=,gave it a whirl,,,
953,=Unsatisfactory=,A little does NOT go a long way...,,,
954,=Good=,Good lotion but obnoxious smell,,,
955,=VeryGood=,Biotin,,,
956,=Good=,It stings,,,
957,=VeryGood=,Better than most pedicures,,,
958,=Good=,ok,,,
959,=Excellent=,Awesome clarifying product,,,
960,=Excellent=,Thank you to all the reviewers for suggesting this face wash,,,
961,=Good=,so-so,,,
962,=Excellent=,Aleo Skin Gel is a staple around here,,,
963,=Unsatisfactory=,Not for sensitive skin,,,
964,=VeryGood=,"Love its affects, just not the smell too much",,,
965,=VeryGood=,Not bad...,,,
966,=VeryGood=,Pleased So Far,,,
967,=Poor=,Not enough moisture to solve Colorado Hands.,,,
968,=Unsatisfactory=,Disappointed!,,,
969,=Good=,Not really for me,,,
970,=Poor=,Terrible on sensitive/dry skin!,,,
971,=Excellent=,Great Product!!!,,,
972,=Poor=,Terrible top coat. Expect more from opi,,,
973,=Unsatisfactory=,Dried my hair out and what's up with the smell?,,,
974,=VeryGood=,Nice Headbands,,,
975,=Good=,I Like It,,,
976,=Good=,Doesn't provide great hold,,,
977,=Excellent=,Dermalogica Microfoliant,,,
978,=Excellent=,Fun Green,,,
979,=Poor=,Don't buy in summer,,,
980,=Poor=,Extremely old product!,,,
981,=Excellent=,night cream,,,
982,=Poor=,Really Bad,,,
983,=Unsatisfactory=,very oily and burns face,,,
984,=VeryGood=,so moisturizing!,,,
985,=Poor=,"No lather, doesn't work",,,
986,=VeryGood=,very good hot air brush. it's easy to use and make your hair shiny and curly too,,,
987,=VeryGood=,Toning provides the balance your skin needs!!,,,
988,=Excellent=,Great comb,,,
989,=Poor=,Worst primer!,,,
990,=VeryGood=,really smoth skin,,,
991,=Excellent=,maybelline expert eyes mascara remover,,,
992,=Unsatisfactory=,Brittle Nails Beware,,,
993,=Good=,It's OK,,,
994,=Good=,Just ok,,,
995,=Poor=,Don't buy this. Waste of money.,,,
996,=Unsatisfactory=,Not a Good Product,,,
997,=Good=,Heavier coverage than I prefer,,,
998,=Good=,"Works, but....",,,
999,=Poor=,Horror,,,
1000,=Unsatisfactory=,Fairly dry concealer,,,
1001,=VeryGood=,Good product,,,
1002,=Excellent=,Great Color,,,
1003,=Poor=,Not Authentic Manufacturer's Product,,,
1004,=Poor=,Didn't like because it may be toxic!,,,
1005,=VeryGood=,"Neutrogena Body Oil, Light Sesame Formula",,,
1006,=Unsatisfactory=,Not doing it's job,,,
1007,=Unsatisfactory=,not too sure about this - leaves itching on the shaved part of the face,,,
1008,=Unsatisfactory=,I had to take it off after an hour.,,,
1009,=Unsatisfactory=,Hair became dull and dry,,,
1010,=VeryGood=,Great for Toddler,,,
1011,=Good=,It's okay.,,,
1012,=VeryGood=,Effective,,,
1013,=Good=,Meh..,,,
1014,=Good=,"Clogs pores, lightens redness...pick your battle",,,
1015,=Good=,Love this thing,,,
1016,=VeryGood=,Good For Sensitive Skin But Has a Mild Frangrance,,,
1017,=Good=,Careful if you have allergies,,,
1018,=Good=,"I love the company's standards, but this bottle is difficult.",,,
1019,=Good=,Nice fragrance but it just doesn't linger long enough!,,,
1020,=Unsatisfactory=,Not for me!,,,
1021,=Excellent=,THE BEST DOESN'T HAVE TO BE THE MOST EXPENSIVE,,,
1022,=Poor=,Didn't work for me ;(,,,
1023,=VeryGood=,Nice features-great warranty,,,
1024,=Poor=,Would like to throw it in the trash,,,
1025,=Unsatisfactory=,"Worked amazingly, then amazingly didn't",,,
1026,=Unsatisfactory=,Pretty color but nothing like the picture,,,
1027,=VeryGood=,Good product. Great scent.,,,
1028,=Unsatisfactory=,Not great,,,
1029,=VeryGood=,Great lotion,,,
1030,=VeryGood=,I like it,,,
1031,=Excellent=,It does what it says...removes frizz and ads volume,,,
1032,=VeryGood=,works,,,
1033,=VeryGood=,"LOVE the color but the formula could be better, hence the 4/5 stars",,,
1034,=Unsatisfactory=,Not the Best,,,
1035,=Unsatisfactory=,not effective,,,
1036,=Excellent=,One of the best products for intestinal problems,,,
1037,=Unsatisfactory=,Not worth the money!,,,
1038,=Excellent=,Blue Grass By Elizabeth Arden Deodorant Cream 1.5 Ounce,,,
1039,=VeryGood=,Very Good For Your Skin; Smells a Little Soapy,,,
1040,=Excellent=,Great on psoriasis,,,
1041,=Unsatisfactory=,Extremely Clumpy and Dries Out,,,
1042,=Excellent=,Love These,,,
1043,=Unsatisfactory=,Wasn't happy with it,,,
1044,=Poor=,Radiance Serum,,,
1045,=VeryGood=,Really Nice Natural Shampoo - smells great!,,,
1046,=Poor=,Super clumpy and dry,,,
1047,=VeryGood=,okay,,,
1048,=Poor=,yuck!,,,
1049,=Good=,i think it is stinky,,,
1050,=Poor=,No effect after 2 months,,,
1051,=Unsatisfactory=,The Scent,,,
1052,=Good=,Not as great as reviews implied,,,
1053,=Poor=,fake product,,,
1054,=Unsatisfactory=,"Too Bad, Had Great Potential.",,,
1055,=Poor=,Tickle My France-y,,,
1056,=Excellent=,Great Hand Lotion,,,
1057,=Unsatisfactory=,Shiny and Burns,,,
1058,=Good=,"Nothing special, but fast shipping",,,
1059,=VeryGood=,i like this,,,
1060,=Poor=,Dont Do IT,,,
1061,=Poor=,It Happens.,,,
1062,=Unsatisfactory=,NOT Natural looking!,,,
1063,=Poor=,Negative stars if possible,,,
1064,=Unsatisfactory=,Smelly,,,
1065,=VeryGood=,Nice face wash,,,
1066,=Excellent=,Absolutely!,,,
1067,=Good=,Not worth the price...,,,
1068,=Good=,Hate the tube.,,,
1069,=Good=,not tht good,,,
